상호명,  2023년01월  ,  2023년02월  ,  2023년03월  ,  2023년04월  ,  2023년05월  ,  2023년06월  ,  2023년07월  ,  2023년08월  ,  2023년09월  ,  2023년10월  ,  2023년11월  ,  2023년12월  ,  2024년01월  ,  2024년02월  ,  2024년03월  ,  2024년04월  
덕적주유소,1524,1500,1442,1400,1373,1350,1303,1331,1418,1450,1450,1439,1400,1400,1400,1400
현대오일뱅크 고잔주유소,1600,1561,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
상야주유소,1485,1485,1489,1485,1401,1365,1365,1400,1483,1535,1504,1408,1403,1440,1440,1440
새천년주유소,1500,1488,1450,1450,1450,1393,1373,1450,1450,1456,1462,1400,1400,1400,1400,1400
석암주유소,1530,1530,1530,1530,1530,1500,1350,1350,1410,1527,1433,1390,1390,1390,1390,1390
영진주유소,1550,1500,1500,1500,1500,1500,1500,1500,1500,1500,1447,1400,1400,1400,1400,1400
뉴코리아주유소,1540,,,,,,,,,,,,,,,
동일석유(주)남동클린주유소,1565,1550,1550,1550,1550,1502,1500,1500,1500,1501,1510,1500,1500,1500,1500,1500
내리주유소,1500,1471,1434,1467,1442,1418,1400,1400,1438,1447,1408,1381,1350,1353,1350,1350
삼영주유소,1600,1600,1413,1400,1400,1400,1400,,,1400,1447,1410,1342,1324,1335,1308
남동농협주유소,1465,1450,1437,1400,1400,1400,1400,1400,1400,1400,1400,1382,1350,1350,1350,1350
박문주유소,1573,1548,1539,1500,1498,1500,1490,1497,1513,1546,1550,1500,1453,1474,1471,1483
통일주유소,1560,1555,1553,1550,1550,1550,1550,1550,1550,1550,1553,1554,1492,1490,1482,1480
장봉주유소,1700,,1600,1600,1600,1600,,1500,1500,1547,1600,1600,1529,1500,1500,1500
선재주유소,1500,1464,1452,1435,1450,1407,1369,1395,1402,1400,1400,1374,1350,1353,1355,1352
공성주유소,,,,,,,1700,,,,,,,,,
학익셀프주유소,1600,1600,1600,,,,,,,1600,1597,1600,1600,1600,1600,1600
제물포하이웨이주유소,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1565,1480,1480,1480,1480,1480
공항주유소,1556,1470,1450,1450,1450,1450,1369,1344,1457,1500,1469,1450,1407,1393,1387,1390
북포주유소,1529,1500,1379,1350,1350,1273,1250,1328,1441,1500,1500,1479,1405,1430,1430,1430
옹진주유소,1529,1500,1379,1350,1350,1267,1250,1334,1447,1500,1500,1477,1430,1430,1430,1430
(주)을왕주유소,1600,1550,1500,1500,1500,1500,1500,1500,1500,1500,1498,1424,1400,1400,1400,1400
(주)고속주유소,1595,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1535,1550,1560,1507
동양산업(주)사동주유소,1500,1450,1450,1450,1450,1450,1450,1450,1450,1450,1405,1370,1370,1370,1370,1370
극동유화(주) 인천주유소,1550,1536,1456,1435,1350,1343,1300,1413,1450,1423,1350,1350,1350,1495,1500,1500
지에스칼텍스(주)국제공항터미널점,1485,1479,1414,1364,1330,1293,1317,1479,1564,1588,1527,1424,1407,1438,1433,1458
HD현대오일뱅크㈜직영 미추홀셀프주유소,1580,1580,1580,1571,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
SK에너지(주) 해바라기,1495,1476,1449,1449,1449,1449,1449,1457,1499,1499,1499,1408,1397,1399,1399,1399
SK에너지(주) 남강,1540,1523,1522,1490,1472,1472,1472,1475,1497,1498,1497,1497,1497,1497,1497,1497
지에스칼텍스(주) 인천국제공항점,1485,1475,1409,1370,1322,1286,1318,1498,1609,1591,1449,1416,1405,1438,1433,1463
현대오일뱅크㈜직영 신공항주유소,1545,1500,1500,1500,1473,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
송현주유소,1500,1500,1500,1500,1500,1500,1500,1300,1460,1500,1500,1500,1408,1390,1390,1373
신화상사(주)구도일주유소 신화제일,1600,1600,1532,1500,1448,1400,1400,1400,1443,1500,1482,1450,1450,1450,1450,1450
연평주유소,1598,1550,1489,1450,1450,1387,1350,1385,1460,1500,1500,1500,1452,1450,1450,1450
SK KH에너지 북항주유소,1490,1490,1490,1490,1390,1377,1379,1412,1492,1540,1498,1408,1405,1440,1440,1440
HD현대오일뱅크(주) 하이웨이주유소,1473,1470,1480,1480,1438,1430,1430,1430,1430,1484,1510,1482,1450,1450,1450,1450
허브제1주유소,1465,1432,1423,1400,1339,1300,1300,1416,1461,1470,1428,1374,1350,1359,1380,1382
오일캠프주유소,,,,,,,1000,,,,,,,,,
갤러리주유소 (주)제이씨네트웍,1540,1540,1540,1540,,,,,,,,,,,1500,
백운주유소(주),1518,1500,1450,1450,1455,1338,1303,1395,1450,1467,1433,1381,1350,1360,1380,1408
하은상사주유소,1286,1230,1183,1169,1151,1053,1046,1127,1282,1339,1287,1193,1160,1190,1210,1223
경인터미널주유소 ㈜북서울에너지,1450,1450,1450,1450,,,,,,,1373,1290,1290,1290,1290,
무진에너지(주)스카이점,1504,1457,1404,1388,1287,,,1412,1545,1514,1425,1370,1370,1385,1365,1386
영흥주유소,1500,1471,1450,1450,1450,1422,1389,1395,1397,1397,1400,1382,1350,1350,1350,1350
계현주유소,1650,1639,1600,1600,,,,,,1545,1500,1500,1500,1500,1500,1500
유항주유소,1646,1619,1574,1566,1525,1456,1396,1436,1496,1540,1462,1400,1413,1417,1500,1500
(주)거보주유소,1611,1583,1558,1532,1521,1529,1539,1549,1549,1549,1540,1484,1449,1468,1479,1479
(주)보라미주유소,1650,1650,1613,1600,,,,1437,1477,1500,1533,1550,1509,1496,1500,1500
고개마루주유소,1569,1535,1490,1490,1482,1440,1423,1390,1415,1440,1440,1375,1360,1378,1380,1380
부개주유소,1548,1538,1527,1527,1527,1514,1450,1450,1450,1490,1500,1480,1470,1470,1470,1470
동암주유소,1640,1593,1504,1450,1450,1450,1439,1450,1450,1453,1501,1497,1500,1498,1497,1500
미담주유소,1606,1600,1600,1600,1600,1600,1600,1600,,,,,,,,
